SECCION,x,y,pan,morena,pri,estrato,dif,ln,estratogeo,estratoele,estratodif,estrato_final,estrato_nombre
1697,-93.12329296708441,16.751915407127655,0.29002079002079,0.16216216216216217,0.05405405405405406,centro poniente sur,-0.12785862785862784,962,8,3,3,6,Centro poniente
1727,-93.11373866782338,16.73867659602326,0.2312040700960995,0.2922555115884681,0.05200678349349915,periferia oriente sur,0.061051441492368574,1769,8,1,1,1,Periferia sur oriente
1696,-93.12265647176896,16.753581311148608,0.32857142857142857,0.1989010989010989,0.04945054945054945,centro poniente sur,-0.12967032967032968,910,8,3,3,6,Centro poniente
1678,-93.12237115636948,16.75596040228685,0.2736363636363636,0.12363636363636364,0.05181818181818182,centro poniente sur,-0.14999999999999997,1100,3,3,3,6,Centro poniente
1679,-93.1182463423497,16.756733734496397,0.2551848512173129,0.18755635707844906,0.03967538322813345,centro poniente sur,-0.06762849413886382,1109,3,3,3,6,Centro poniente
1708,-93.1259127763595,16.746623660929423,0.32351135666052794,0.22713321055862493,0.07550644567219153,centro poniente sur,-0.09637814610190301,1629,8,3,3,6,Centro poniente
1721,-93.11243663888754,16.742160056268073,0.2793522267206478,0.30701754385964913,0.0553306342780027,centro oriente sur,0.027665317139001333,1482,8,1,1,1,Periferia sur oriente
1698,-93.1279959783322,16.752971578235826,0.39477503628447025,0.18722786647314948,0.0660377358490566,centro poniente sur,-0.20754716981132076,1378,3,3,3,6,Centro poniente
1720,-93.1081340385149,16.740324343397248,0.27065868263473053,0.3221556886227545,0.03952095808383234,centro oriente sur,0.05149700598802398,1670,8,1,1,1,Periferia sur oriente
1677,-93.1219294103827,16.758249074029443,0.38436482084690554,0.21335504885993486,0.05537459283387622,centro poniente sur,-0.17100977198697068,614,3,3,3,6,Centro poniente
1719,-93.10295282284159,16.737994741276545,0.34468937875751504,0.3076152304609218,0.07515030060120241,centro oriente sur,-0.03707414829659322,998,8,1,3,1,Periferia sur oriente
1700,-93.13760239577665,16.749376583532865,0.34526506570004534,0.2464884458541006,0.05845038513819665,centro poniente sur,-0.09877661984594474,2207,3,3,3,6,Centro poniente
1717,-93.09715542593763,16.736949063187577,0.2074566260612772,0.3547434477667036,0.06866002214839424,centro oriente sur,0.14728682170542637,2709,8,1,1,1,Periferia sur oriente
1699,-93.13408512499241,16.75201569795707,0.4473085670962851,0.20318423047763456,0.053828658074298714,centro poniente sur,-0.24412433661865052,1319,3,3,3,6,Centro poniente
1707,-93.13144542564919,16.748718253158163,0.38027015963978716,0.237003683995088,0.07981989357347523,centro poniente sur,-0.14326647564469916,2443,3,3,3,6,Centro poniente
1676,-93.12622339304043,16.75735565699897,0.413111342351717,0.16129032258064516,0.06763787721123829,centro poniente sur,-0.25182101977107185,961,3,3,3,6,Centro poniente
1609,-93.10664023782978,16.785413596527647,0.17881048001529928,0.26161790017211706,0.07075922738573341,periferia oriente norte,0.08280742015681777,5229,6,3,5,5,Periferia norte
1675,-93.13595212366991,16.75712532827123,0.43083421330517424,0.10242872228088701,0.06969376979936642,centro poniente sur,-0.32840549102428723,947,3,3,3,6,Centro poniente
1674,-93.1374961884122,16.76064210405588,0.37114197530864196,0.16512345679012347,0.08024691358024691,centro poniente sur,-0.2060185185185185,1296,3,3,3,6,Centro poniente
1694,-93.11612021504365,16.7494019524893,0.24305555555555555,0.15885416666666666,0.03211805555555555,centro oriente sur,-0.0842013888888889,1152,8,3,3,6,Centro poniente
1670,-93.11807291153677,16.759512096011388,0.2974976830398517,0.22798887859128822,0.0685820203892493,centro poniente norte,-0.06950880444856347,1079,3,3,3,6,Centro poniente
1668,-93.11210936964626,16.759756677627177,0.3689530685920578,0.24476534296028882,0.05054151624548736,centro oriente norte,-0.12418772563176897,1385,3,3,3,3,Centro oriente
1614,-93.11470040020758,16.783223534575555,0.20096930533117932,0.2936995153473344,0.053634894991922456,periferia oriente norte,0.09273021001615508,3095,3,3,5,5,Periferia norte
1615,-93.11859319117256,16.783015050113946,0.17371502927781393,0.27260897852960314,0.06267620906527868,periferia oriente norte,0.09889394925178921,4611,3,3,5,5,Periferia norte
